produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440683732,CameraCapture,-2910330649971625320,frame_captured,54104930,{"width":1536, "height":864}
1765440683798,CameraCapture,-2910330649971625320,frame_captured,54104997,{"width":1536, "height":864}
1765440683866,CameraCapture,-2910330649971625320,frame_captured,54105064,{"width":1536, "height":864}
1765440683933,CameraCapture,-2910330649971625320,frame_captured,54105131,{"width":1536, "height":864}
1765440684000,CameraCapture,-2910330649971625320,frame_captured,54105198,{"width":1536, "height":864}
1765440684067,CameraCapture,-2910330649971625320,frame_captured,54105265,{"width":1536, "height":864}
1765440684136,CameraCapture,-2910330649971625320,frame_captured,54105332,{"width":1536, "height":864}
1765440684202,CameraCapture,-2910330649971625320,frame_captured,54105400,{"width":1536, "height":864}
1765440684269,CameraCapture,-2910330649971625320,frame_captured,54105467,{"width":1536, "height":864}
1765440684336,CameraCapture,-2910330649971625320,frame_captured,54105534,{"width":1536, "height":864}
1765440684405,CameraCapture,-2910330649971625320,frame_captured,54105601,{"width":1536, "height":864}
1765440684470,CameraCapture,-2910330649971625320,frame_captured,54105668,{"width":1536, "height":864}
1765440684539,CameraCapture,-2910330649971625320,frame_captured,54105735,{"width":1536, "height":864}
1765440684604,CameraCapture,-2910330649971625320,frame_captured,54105802,{"width":1536, "height":864}
1765440684671,CameraCapture,-2910330649971625320,frame_captured,54105869,{"width":1536, "height":864}
1765440684741,CameraCapture,-2910330649971625320,frame_captured,54105936,{"width":1536, "height":864}
1765440684806,CameraCapture,-2910330649971625320,frame_captured,54106003,{"width":1536, "height":864}
1765440684872,CameraCapture,-2910330649971625320,frame_captured,54106071,{"width":1536, "height":864}
1765440685062,CameraCapture,-9018811509794563686,PerformanceMetrics,0,{"p50_latency_ms":2.000,"p95_latency_ms":547138822848.000,"p99_latency_ms":4.000,"average_fps":1109.489,"total_frames_processed":152,"average_latency_ms":0.901}
1765440685069,CameraCapture,-2910330649971625320,frame_captured,54106138,{"width":1536, "height":864}
1765440685082,CameraCapture,-2910330649971625320,frame_captured,54106205,{"width":1536, "height":864}
1765440685141,CameraCapture,-2910330649971625320,frame_captured,54106339,{"width":1536, "height":864}
1765440685207,CameraCapture,-2910330649971625320,frame_captured,54106406,{"width":1536, "height":864}
1765440685275,CameraCapture,-2910330649971625320,frame_captured,54106473,{"width":1536, "height":864}
1765440685342,CameraCapture,-2910330649971625320,frame_captured,54106540,{"width":1536, "height":864}
1765440685409,CameraCapture,-2910330649971625320,frame_captured,54106607,{"width":1536, "height":864}
1765440685476,CameraCapture,-2910330649971625320,frame_captured,54106674,{"width":1536, "height":864}
1765440685543,CameraCapture,-2910330649971625320,frame_captured,54106742,{"width":1536, "height":864}
1765440685611,CameraCapture,-2910330649971625320,frame_captured,54106809,{"width":1536, "height":864}
1765440685679,CameraCapture,-2910330649971625320,frame_captured,54106876,{"width":1536, "height":864}
1765440685744,CameraCapture,-2910330649971625320,frame_captured,54106943,{"width":1536, "height":864}
1765440685812,CameraCapture,-2910330649971625320,frame_captured,54107010,{"width":1536, "height":864}
1765440685879,CameraCapture,-2910330649971625320,frame_captured,54107077,{"width":1536, "height":864}
1765440685946,CameraCapture,-2910330649971625320,frame_captured,54107144,{"width":1536, "height":864}
1765440686013,CameraCapture,-2910330649971625320,frame_captured,54107211,{"width":1536, "height":864}
1765440686082,CameraCapture,-2910330649971625320,frame_captured,54107278,{"width":1536, "height":864}
1765440686148,CameraCapture,-2910330649971625320,frame_captured,54107345,{"width":1536, "height":864}
1765440686215,CameraCapture,-2910330649971625320,frame_captured,54107412,{"width":1536, "height":864}
1765440686281,CameraCapture,-2910330649971625320,frame_captured,54107480,{"width":1536, "height":864}
1765440686349,CameraCapture,-2910330649971625320,frame_captured,54107547,{"width":1536, "height":864}
1765440686416,CameraCapture,-2910330649971625320,frame_captured,54107614,{"width":1536, "height":864}
1765440686483,CameraCapture,-2910330649971625320,frame_captured,54107681,{"width":1536, "height":864}
1765440686549,CameraCapture,-2910330649971625320,frame_captured,54107748,{"width":1536, "height":864}
1765440686618,CameraCapture,-2910330649971625320,frame_captured,54107815,{"width":1536, "height":864}
1765440686684,CameraCapture,-2910330649971625320,frame_captured,54107882,{"width":1536, "height":864}
1765440686751,CameraCapture,-2910330649971625320,frame_captured,54107949,{"width":1536, "height":864}
1765440686817,CameraCapture,-2910330649971625320,frame_captured,54108016,{"width":1536, "height":864}
1765440686885,CameraCapture,-2910330649971625320,frame_captured,54108083,{"width":1536, "height":864}
1765440686952,CameraCapture,-2910330649971625320,frame_captured,54108151,{"width":1536, "height":864}
1765440687020,CameraCapture,-2910330649971625320,frame_captured,54108218,{"width":1536, "height":864}
1765440687086,CameraCapture,-2910330649971625320,frame_captured,54108285,{"width":1536, "height":864}
1765440687154,CameraCapture,-2910330649971625320,frame_captured,54108352,{"width":1536, "height":864}
1765440687221,CameraCapture,-2910330649971625320,frame_captured,54108419,{"width":1536, "height":864}
1765440687288,CameraCapture,-2910330649971625320,frame_captured,54108486,{"width":1536, "height":864}
1765440687354,CameraCapture,-2910330649971625320,frame_captured,54108553,{"width":1536, "height":864}
1765440687422,CameraCapture,-2910330649971625320,frame_captured,54108620,{"width":1536, "height":864}
1765440687489,CameraCapture,-2910330649971625320,frame_captured,54108687,{"width":1536, "height":864}
1765440687557,CameraCapture,-2910330649971625320,frame_captured,54108754,{"width":1536, "height":864}
1765440687623,CameraCapture,-2910330649971625320,frame_captured,54108822,{"width":1536, "height":864}
1765440687691,CameraCapture,-2910330649971625320,frame_captured,54108889,{"width":1536, "height":864}
1765440687758,CameraCapture,-2910330649971625320,frame_captured,54108956,{"width":1536, "height":864}
1765440687825,CameraCapture,-2910330649971625320,frame_captured,54109023,{"width":1536, "height":864}
1765440687891,CameraCapture,-2910330649971625320,frame_captured,54109090,{"width":1536, "height":864}
1765440687959,CameraCapture,-2910330649971625320,frame_captured,54109157,{"width":1536, "height":864}
1765440688026,CameraCapture,-2910330649971625320,frame_captured,54109224,{"width":1536, "height":864}
1765440688094,CameraCapture,-2910330649971625320,frame_captured,54109291,{"width":1536, "height":864}
1765440688159,CameraCapture,-2910330649971625320,frame_captured,54109358,{"width":1536, "height":864}
1765440688227,CameraCapture,-2910330649971625320,frame_captured,54109425,{"width":1536, "height":864}
1765440688294,CameraCapture,-2910330649971625320,frame_captured,54109493,{"width":1536, "height":864}
1765440688362,CameraCapture,-2910330649971625320,frame_captured,54109560,{"width":1536, "height":864}
1765440688428,CameraCapture,-2910330649971625320,frame_captured,54109627,{"width":1536, "height":864}
1765440688496,CameraCapture,-2910330649971625320,frame_captured,54109694,{"width":1536, "height":864}
1765440688563,CameraCapture,-2910330649971625320,frame_captured,54109761,{"width":1536, "height":864}
1765440688630,CameraCapture,-2910330649971625320,frame_captured,54109828,{"width":1536, "height":864}
1765440688697,CameraCapture,-2910330649971625320,frame_captured,54109895,{"width":1536, "height":864}
1765440688764,CameraCapture,-2910330649971625320,frame_captured,54109962,{"width":1536, "height":864}
1765440688831,CameraCapture,-2910330649971625320,frame_captured,54110029,{"width":1536, "height":864}
1765440688899,CameraCapture,-2910330649971625320,frame_captured,54110096,{"width":1536, "height":864}
1765440688965,CameraCapture,-2910330649971625320,frame_captured,54110163,{"width":1536, "height":864}
1765440689033,CameraCapture,-2910330649971625320,frame_captured,54110231,{"width":1536, "height":864}
1765440689100,CameraCapture,-2910330649971625320,frame_captured,54110298,{"width":1536, "height":864}
